RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,4%@1479,91%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@47C thermal@41.75C POM_5V_IN 3858/3563 POM_5V_GPU 0/29 POM_5V_CPU 1725/1415
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,94%@1479,2%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38C CPU@44C PMIC@100C GPU@40C AO@47C thermal@42C POM_5V_IN 3858/3570 POM_5V_GPU 0/28 POM_5V_CPU 1725/1423
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,89%@1479,2%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@44C PMIC@100C GPU@40.5C AO@47C thermal@42C POM_5V_IN 3858/3577 POM_5V_GPU 0/27 POM_5V_CPU 1725/1431
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,92%@1479,2%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@41C AO@47C thermal@42C POM_5V_IN 3858/3584 POM_5V_GPU 0/26 POM_5V_CPU 1725/1438
RAM 2163/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,56%@1479,36%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@47C thermal@41.75C POM_5V_IN 3858/3590 POM_5V_GPU 0/26 POM_5V_CPU 1725/1444
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,94%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43C PMIC@100C GPU@41C AO@47C thermal@41.75C POM_5V_IN 3938/3598 POM_5V_GPU 0/25 POM_5V_CPU 1765/1451
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,10%@1479,60%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43C PMIC@100C GPU@41C AO@47C thermal@42C POM_5V_IN 3818/3603 POM_5V_GPU 0/25 POM_5V_CPU 1688/1457
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,5%@1479,92%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43C PMIC@100C GPU@41C AO@47C thermal@42C POM_5V_IN 3858/3609 POM_5V_GPU 0/24 POM_5V_CPU 1728/1463
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,36%@1479,6%@1479,57%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43.5C PMIC@100C GPU@41C AO@47.5C thermal@42C POM_5V_IN 3858/3614 POM_5V_GPU 0/24 POM_5V_CPU 1725/1468
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,91%@1479,6%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@44C PMIC@100C GPU@40.5C AO@47C thermal@42.25C POM_5V_IN 3898/3620 POM_5V_GPU 0/23 POM_5V_CPU 1725/1474
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,92%@1479,7%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@41C AO@47.5C thermal@42.25C POM_5V_IN 3858/3625 POM_5V_GPU 0/23 POM_5V_CPU 1728/1479
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,92%@1479,5%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43.5C PMIC@100C GPU@40.5C AO@47C thermal@42.5C POM_5V_IN 3858/3629 POM_5V_GPU 0/22 POM_5V_CPU 1725/1484
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,91%@1479,5%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@41C AO@47C thermal@42.25C POM_5V_IN 3858/3634 POM_5V_GPU 0/22 POM_5V_CPU 1728/1488
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,42%@1479,53%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43C PMIC@100C GPU@41C AO@47C thermal@42C POM_5V_IN 3898/3639 POM_5V_GPU 0/21 POM_5V_CPU 1765/1494
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,92%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43.5C PMIC@100C GPU@40.5C AO@47.5C thermal@42.25C POM_5V_IN 3858/3643 POM_5V_GPU 0/21 POM_5V_CPU 1688/1497
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,84%@1479,8%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@44.5C PMIC@100C GPU@40.5C AO@47.5C thermal@42.25C POM_5V_IN 3858/3647 POM_5V_GPU 0/20 POM_5V_CPU 1728/1502
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,90%@1479,2%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@44C PMIC@100C GPU@40.5C AO@47.5C thermal@42.5C POM_5V_IN 3858/3651 POM_5V_GPU 0/20 POM_5V_CPU 1725/1506
