RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,95%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 3966/3865 POM_5V_GPU 0/27 POM_5V_CPU 1802/1671
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,93%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 3932/3866 POM_5V_GPU 0/26 POM_5V_CPU 1762/1673
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,0%@1479,96%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 3966/3868 POM_5V_GPU 0/26 POM_5V_CPU 1802/1676
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,99%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@46C AO@52C thermal@46.75C POM_5V_IN 4006/3871 POM_5V_GPU 0/25 POM_5V_CPU 1802/1679
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,99%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@46C AO@52C thermal@46.5C POM_5V_IN 4006/3874 POM_5V_GPU 0/24 POM_5V_CPU 1802/1681
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 4046/3878 POM_5V_GPU 0/24 POM_5V_CPU 1842/1685
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,90%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@47C POM_5V_IN 3892/3878 POM_5V_GPU 0/23 POM_5V_CPU 1722/1685
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,96%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.75C POM_5V_IN 3932/3879 POM_5V_GPU 0/23 POM_5V_CPU 1762/1687
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,91%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@47C POM_5V_IN 3932/3880 POM_5V_GPU 0/23 POM_5V_CPU 1762/1688
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,94%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@48C PMIC@100C GPU@46C AO@52C thermal@46.5C POM_5V_IN 3932/3881 POM_5V_GPU 0/22 POM_5V_CPU 1722/1689
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,93%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.75C POM_5V_IN 3966/3882 POM_5V_GPU 0/22 POM_5V_CPU 1802/1691
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,94%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@46C AO@52C thermal@46.5C POM_5V_IN 3932/3883 POM_5V_GPU 0/21 POM_5V_CPU 1722/1692
