RAM 2016/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [8%@102,7%@102,12%@102,3%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44C AO@52.5C thermal@45.5C POM_5V_IN 2345/2837 POM_5V_GPU 82/100 POM_5V_CPU 164/630
RAM 2016/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [5%@102,3%@102,7%@102,1%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44C AO@52C thermal@45.25C POM_5V_IN 2424/2827 POM_5V_GPU 123/100 POM_5V_CPU 164/618
RAM 2039/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [3%@1479,1%@1479,76%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@48C PMIC@100C GPU@45C AO@52.5C thermal@45.25C POM_5V_IN 3144/2834 POM_5V_GPU 81/100 POM_5V_CPU 939/626
RAM 2087/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [26%@1224,3%@1224,3%@1224,2%@1224] EMC_FREQ 0% GR3D_FREQ 2% PLL@44C CPU@47C PMIC@100C GPU@44C AO@53C thermal@45.75C POM_5V_IN 2654/2830 POM_5V_GPU 122/100 POM_5V_CPU 408/621
RAM 2125/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [66%@1479,50%@1479,13%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@50C PMIC@100C GPU@44.5C AO@53.5C thermal@45.5C POM_5V_IN 4106/2860 POM_5V_GPU 80/100 POM_5V_CPU 1848/649
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,100%@1479,5%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49.5C PMIC@100C GPU@45C AO@53C thermal@47.25C POM_5V_IN 4179/2890 POM_5V_GPU 80/99 POM_5V_CPU 1848/677
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,36%@1479,62%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49.5C PMIC@100C GPU@45C AO@53.5C thermal@47C POM_5V_IN 4025/2915 POM_5V_GPU 40/98 POM_5V_CPU 1811/702
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,93%@1479,7%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49.5C PMIC@100C GPU@45C AO@53C thermal@47.25C POM_5V_IN 4025/2939 POM_5V_GPU 80/98 POM_5V_CPU 1771/725
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,94%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49C PMIC@100C GPU@45C AO@53C thermal@47C POM_5V_IN 4059/2963 POM_5V_GPU 80/97 POM_5V_CPU 1768/747
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,88%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@49.5C PMIC@100C GPU@46.5C AO@53.5C thermal@47.25C POM_5V_IN 3953/2984 POM_5V_GPU 39/96 POM_5V_CPU 1754/768
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,86%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49.5C PMIC@100C GPU@44.5C AO@53.5C thermal@47.25C POM_5V_IN 4000/3004 POM_5V_GPU 79/96 POM_5V_CPU 1757/788
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,86%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49.5C PMIC@100C GPU@45C AO@53C thermal@47.25C POM_5V_IN 3960/3023 POM_5V_GPU 80/95 POM_5V_CPU 1677/806
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,89%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45C CPU@49C PMIC@100C GPU@47C AO@53C thermal@47.25C POM_5V_IN 3960/3042 POM_5V_GPU 0/94 POM_5V_CPU 1760/825
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [10%@1479,4%@1479,94%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@50C PMIC@100C GPU@47.5C AO@53C thermal@47.25C POM_5V_IN 4040/3061 POM_5V_GPU 0/92 POM_5V_CPU 1876/845
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [9%@1479,5%@1479,92%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@50C PMIC@100C GPU@47.5C AO@53C thermal@48.5C POM_5V_IN 4040/3079 POM_5V_GPU 0/90 POM_5V_CPU 1840/864
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [24%@1479,6%@1479,78%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4040/3097 POM_5V_GPU 0/88 POM_5V_CPU 1837/882
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,0%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53C thermal@48.25C POM_5V_IN 4040/3114 POM_5V_GPU 0/87 POM_5V_CPU 1837/899
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [76%@1479,31%@1479,2%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53C thermal@48.25C POM_5V_IN 4080/3132 POM_5V_GPU 0/85 POM_5V_CPU 1876/917
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [9%@1479,76%@1479,20%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53C thermal@48C POM_5V_IN 4040/3147 POM_5V_GPU 0/84 POM_5V_CPU 1837/933
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [63%@1479,13%@1479,28%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4040/3163 POM_5V_GPU 0/82 POM_5V_CPU 1840/948
